nom_ent,entidad,mun,nom_mun,loc,nom_loc,longitud,latitud,altitud,p_total,p_mas,p_fem,p_0a4_an,p_0a4_ma,p_0a4_fe,p_0a14_a,p_0a14_ma,p_0a14_fe,p_5_an,p_5ymas,p_5ymas_m,p_5ymas_f,p_6a11_an,p_6a14_an,p_6a14_m,p_6a14_f,p_12a14_an,p_12ymas,p_15ymas,p_15ymas_m,p_15ymas_f,p_15a24,p_f_15a49,p_15a59,p_15a59_m,p_15a59_f,p_18ymas,p_m_18ymas,p_f_18ymas,p_60ymas,p_m_60ymas,p_f_60ymas,p_65ymas,p_65ymas_m,p_65ymas_f,rel_h_m,prom_hnv,p_re2000,p_oe2000,p_m_oe2000,p_f_oe2000,p_eu2000,p_sinder,p_dere,p_imss,p_issste,p_segpop,p_8a14an,p_m_8a14an,p_f_8a14an,p_15maan,p_m_15maan,p_f_15maan,p_5_noae,p_m_5_noae,p_f_5_noae,p_6a11_noa,p6a14noa,pm_6a14noa,pf_6a14noa,p12a14_noa,p_15a24a,p_m_15a24a,p_f_15a24a,p15ymase,pm_15ymase,pf_15ymase,p15ym_ebin,pm15ymebin,pf15ymebin,p15ym_ebc,pm15ym_ebc,pf15ym_ebc,p15ymapb,pm_15ymapb,pf_15ymapb,graproes,gradoes_m,gradoes_f,p5ymahli,p5ymahli_m,p5ymahli_f,p5ymaline,pm5ymaline,pf5ymaline,p5ymalies,pmymalies,pfymalies,p_hog_ind,tot_hog,hogar_jm,hogar_jf,p_hogar,p_hog_jm,p_hog_jf,t_vivhab,vivparha,o_vivpar,pro_vipa,pro_c_vp,vph_pidt,vph_con_pt,vph_1dor,vph_2ymasd,vph_1cua,vph_2cua,vph_3ymasc,vph_excsa,vph_agdv,vph_noag,vph_dren,vph_nodren,vph_enel,vph_dree,vph_nade,vph_sbie,vph_tv,vph_refr,vph_lava,vph_pc
Aguascalientes,33,33,33,33,33,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Baja California,104,104,104,104,104,103,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
Baja California Sur,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Campeche,79,79,79,79,79,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
Chiapas,529,529,529,529,529,525,525,525,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529
Chihuahua,294,294,294,294,294,292,292,292,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294
Coahuila de Zaragoza,111,111,111,111,111,108,108,108,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
Colima,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Distrito Federal,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Durango,164,164,164,164,164,163,163,163,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
